xmlid,xmleventtypeid,xmlticker,xmleventdate,xmlfakeqtr,xmlcity,xmlcompanyname,xmlymd,xmlcalldate,gvkey,datadate,tic,cusip,conm,rdq,exchg,fic,no_of_days
12336405,11,TCB,24-Apr-19,TCF Fin,MINNEAPOLIS,TCF Financial Corp,20190424,24-Apr-19,,,,,,,,,
12468295,1,TCB,22-Apr-19,Q1 2019,WAYZATA,TCF Financial Corp,20190422,22-Apr-19,,,,,,,,,
12416507,1,TCBI,17-Apr-19,Q1 2019,DALLAS,Texas Capital Bancshares I,20190417,17-Apr-19,150306,20190331,TCBI,88224Q107,TEXAS CAPITAL BANCSHARES INC,20190417,14,USA,0
12231551,1,TCBI,23-Jan-19,Q4 2018,DALLAS,Texas Capital Bancshares I,20190123,23-Jan-19,150306,20181231,TCBI,88224Q107,TEXAS CAPITAL BANCSHARES INC,20190123,14,USA,0
12395031,7,TCBI,5-Mar-19,Texas C,Orlando,Texas Capital Bancshares I,20190305,5-Mar-19,,,,,,,,,
12250584,7,TCDA.OQ,9-Jan-19,Tricida,San Francisco,Tricida Inc,20190109,9-Jan-19,,,,,,,,,
12402458,1,TCDA.OQ,28-Mar-19,Q4 2018,SOUTH SAN FRA,Tricida Inc,20190328,28-Mar-19,,,,,,,,,
12343633,1,TCELL.IS,20-Feb-19,Q4 2018,Istanbul,Turkcell Iletisim Hizmetle,20190220,20-Feb-19,,,,,,,,,
12282991,7,TCELL.IS,8-Jan-19,Turkcel,Las Vegas,Turkcell Iletisim Hizmetle,20190108,8-Jan-19,,,,,,,,,
12302031,33,TCG.L,7-Feb-19,Q1 2019,Peterborough,Thomas Cook Group plc,20190207,7-Feb-19,,,,,,,,,
12345955,1,TCH.PA,27-Feb-19,Full Ye,Boulogne Cede,Technicolor SA,20190227,27-Feb-19,,,,,,,,,
12457632,5,TCK.B.TO,3-Apr-19,Teck Re,VANCOUVER,Teck Resources Ltd,20190403,3-Apr-19,,,,,,,,,
12460605,1,TCK.B.TO,23-Apr-19,Q1 2019,VANCOUVER,Teck Resources Ltd,20190423,23-Apr-19,,,,,,,,,
12219229,1,TCK.B.TO,13-Feb-19,Q4 2018,VANCOUVER,Teck Resources Ltd,20190213,13-Feb-19,,,,,,,,,
